"Estimate","Est.Error","Q2.5","Q97.5","param"
0.27736425901962,0.0953245055359261,0.213412438541607,0.340745538809225,"WCPU"
0.884442081141409,0.192592969733626,0.805737072842718,0.946864914316416,"WCPUTgivenU"
0.0266152118902726,0.375053591729201,0.00235206455267486,0.0847745604399916,"WCPrColor"
0.57066900512495,0.111121897890336,0.483533215034493,0.654449311344968,"WCPrLocation"
0.700373157635742,0.285326403879892,0.483400454906733,0.865040048055388,"WCPItemLocation"
0.306469127347158,0.155864099365168,0.199546273647343,0.409013423120974,"WCPItemColor"
0.124796154132968,0.12478054322229,0.0770644593963143,0.175068514561042,"LCPU"
0.984007130763073,0.466688764618461,0.920020234093967,0.999323855284779,"LCPUTgivenU"
0.582903404085545,0.111376372972224,0.49333011057882,0.662270651611069,"LCPrWord"
0.112850080045076,0.193906258184572,0.0521138360017608,0.185962408176047,"LCPrColor"
0.276299919894156,0.146154585957571,0.18136673682754,0.365133185065295,"LCPItemColor"
0.305419637712426,0.246162189976279,0.146470645520111,0.465536442227681,"LCPItemWord"
0.5501451766524,0.0939349906699644,0.474657341842288,0.620642633874189,"CCPU"
0.618745039088664,0.0710004349956904,0.565577565458178,0.670260361497652,"CCPUTgivenU"
0.0444508082367025,0.319941123247509,0.00626061944852549,0.110042914788104,"CCPrWord"
0.362970988774231,0.116201188126785,0.279630842636278,0.450808223617067,"CCPrLocation"
0.548217502971285,0.224889709666875,0.369938071561784,0.707421560350623,"CCPItemLocation"
0.287817140644553,0.286901827206225,0.114497824776568,0.482253592041797,"CCPItemWord"
