"fit","param","true_value","estimate","ci_lower","ci_upper","covered","ci_width","max_rhat","divergences"
"power_utility_3level","a",1.5,1.28146379961,0.6779258665,1.7164574575,TRUE,1.038531591,1.01936654058643,10
"power_utility_3level","c",2,2.074789864,1.980847165,2.1639748825,TRUE,0.1831277175,1.01936654058643,10
"power_utility_3level","gamma",0.5,0.54260972349,0.2022246265,1.1311467725,TRUE,0.928922146,1.01936654058643,10
"power_utility_3level","rho",0.7,0.72762441958,0.41157216375,1.150811855,TRUE,0.73923969125,1.01936654058643,10
