"param","true_value","estimate","ci_lower","ci_upper","covered","max_rhat","divergences"
"wi",1.2,1.1533,1.0131,1.2992,TRUE,1.0035,0
"wo",0.8,0.702,0.5736,0.8415,TRUE,1.0035,0
