"model","param","true","est","q2.5","q97.5","covered","max_rhat","n_diverge"
"gains_losses_phi1","alpha",0.8,0.78739441469,0.740985393,0.829816182,TRUE,1.01889845876372,0
"gains_losses_phi1","lambda",2.25,2.3453634274,2.0055872975,2.76188711,TRUE,1.01889845876372,0
"gains_losses_phi1","gammaw",0.65,0.62233646486,0.53585894075,0.7261180935,TRUE,1.01889845876372,0
