"model","alpha","beta","lambda","gamma_w","phi","lambda_bias","aic"
"unconstrained",0.514327277733513,0.800984720974043,0.860010025127693,0.630974071185582,3.04120638407213,-1.38998997487231,119.324056672679
"constrained",0.703074150073736,0.703074150073736,1.96500122562402,0.61391486128058,1.73136391438171,-0.284998774375978,120.55357264904
